Number,Manufacturer,Series,Dimmer Model,Manufacturer Link,Dimming Protocol,Max Power,Image
1,Lutron,Diva Series,DVCL-253P,https://assets.lutron.com/a/documents/369810_diva%20250w%20c.l%20dimmer_spec%20sub.pdf,Triac,250,https://residential.lutron.com/sites/residential/files/Led%20Dimmer.jpg
2,Lutron,Diva Series,DVCL-153P,https://www.lutron.com/en-US/products/pages/dimmers/dvcl-153p,Triac,150,https://support.lutron.com/sites/default/files/2024-03/DVCL-153P-WH_with-Wallplate_Desktop.png
3,Lutron,Skylark Contour,CTCL-153P,https://www.lutron.com/en-US/products/pages/dimmers/ctcl-153p,ELV,150,https://support.lutron.com/sites/default/files/2023-12/CT-103P-WH_with%20Wallplate%201.png
4,Lutron,Skylark Series,SCL-153P,https://www.lutron.com/en-US/products/pages/dimmers/scl-153p,ELV,150,https://support.lutron.com/sites/default/files/2024-03/SCL-153P-WH_with-Wallplate_Desktop.png
5,Lutron,Ariadni Series,AYCL-153P,https://www.lutron.com/en-US/products/pages/dimmers/aycl-153p,Triac,150,https://support.lutron.com/sites/default/files/2024-03/AYCL-153PH-WH_with-Wallplate.png
6,Lutron,Ariadni Series,AYCL-253P,https://www.lutron.com/en-US/products/pages/dimmers/aycl-253p,Triac,250,https://support.lutron.com/sites/default/files/2024-03/AYCL-153PH-WH_with-Wallplate.png
7,Lutron,Nova Series,NTCL-250,https://www.lutron.com/en-US/products/pages/dimmers/ntcl-250,0-10V,250,
8,Lutron,Dalia Series,RCL-153PNL,https://www.lutron.com/en-US/products/pages/dimmers/rcl-153pnl,0-10V,150,https://support.lutron.com/sites/default/files/2024-05/RCL-153PNL-w-wallplate_278x432.png
9,Lutron,Caseta Original Smart,PD-6WCL,https://www.lutron.com/en-US/products/pages/dimmers/pd-6wcl,0-10V,150,https://support.lutron.com/sites/default/files/2025-02/caseta-original-278x432.png
10,Lutron,PD Series,PD-10NXD,https://www.lutron.com/en-US/products/pages/dimmers/pd-10nxd,0-10V,150,
11,Lutron,Maestro Series,MACL-153M,https://www.lutron.com/en-US/products/pages/dimmers/macl-153m,ELV,150,https://support.lutron.com/sites/default/files/2024-04/MACL-153M_0.png
12,Lutron,Maestro Series,MACL-LFQ,https://www.lutron.com/en-US/products/pages/dimmers/macl-lfq,ELV,150,
13,Lutron,Maestro Sensor,MSCL-OP153M,https://www.lutron.com/en-US/products/pages/dimmers/mscl-op153m,Triac,150,https://support.lutron.com/sites/default/files/2024-05/MSCL-OP153M_278x432.png
14,Lutron,Sunnata Series,STCL-153PR,https://www.lutron.com/en-US/products/pages/dimmers/stcl-153pr,Triac,150,https://support.lutron.com/sites/default/files/2024-04/STCL-153M_with-Wallplate.png
